product_id,name,price,quantity,category,description,production_date,rating,status
14,Капуста белокочанная,489.0,111,Овощи,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",1997-02-06,2.33,New
22,Картофель,3193.0,789,Овощи,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1993-11-09,0.29,Refunded
30,Портулак,6172.0,453,Овощи,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1997-05-10,2.83,Temporarily Unavailable
31,Фенхель,6992.0,813,Овощи,Является важным компонентом сбалансированного рациона питания.,2006-09-03,1.65,Shipping
41,Огурец,2555.0,277,Овощи,Помогает поддерживать нормальный уровень электролитов в организме.,2018-01-01,2.19,Returned
59,Сельдерей,8116.0,525,Овощи,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1990-01-02,1.73,Cancelled
66,Чеснок,7252.0,38,Овощи,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2009-04-14,0.95,On Backorder
71,Тыква,8421.0,431,Овощи,Отличается высоким уровнем биологической доступности питательных веществ.,2008-02-02,0.72,Awaiting Review
77,Картофель,326.0,928,Овощи,Часто рекомендуется врачами-диетологами как часть здорового питания.,2000-01-04,0.41,Cancelled
79,Чеснок,972.0,911,Овощи,Прошел проверку на соответствие экологическим нормам и стандартам.,1997-08-03,2.14,On Backorder
89,Лук-порей,1098.0,306,Овощи,Помогает укреплять стенки сосудов и улучшать кровообращение.,2009-02-02,0.48,Refunded
94,Цукини,4239.0,660,Овощи,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1992-02-18,3.08,Out of Stock
96,Чечевица,3733.0,748,Овощи,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1991-01-09,3.44,Awaiting Payment
102,Патиссон,3764.0,594,Овощи,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2004-04-01,0.54,Sold
105,Свекла,5544.0,225,Овощи,Может использоваться в вегетарианской диете как источник белка.,2017-06-13,4.74,On Backorder
111,Кабачок,1100.0,16,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2001-01-05,2.54,Refunded
117,Портулак,7049.0,378,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2021-01-01,2.8,Refunded
120,Чеснок,2633.0,514,Овощи,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1994-04-20,0.01,New
122,Чечевица,5599.0,741,Овощи,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2007-01-03,3.24,Backorder
126,Топинамбур,9906.0,87,Овощи,Подходит для использования в специализированных диетах и лечебных программах.,1991-03-06,0.38,Shipping
129,Укроп,7430.0,235,Овощи,Отличается легкостью в переваривании и усвоении организмом.,1997-06-03,1.08,In Stock
